payment_ref,gross_amount,mdr_rate,gst_rate,net_amount,settlement_batch_id,settled_at
pay_4,1979.00,0.02,0.18,1932.30,batch_1,2026-08-05T14:30:00
pay_5,14917.00,0.02,0.18,14564.96,batch_2,2026-08-06T15:30:00
pay_6,9974.00,0.02,0.18,9738.61,batch_3,2026-08-07T10:30:00
pay_7,788.00,0.02,0.18,747.40,batch_4,2026-08-08T11:30:00
pay_8,8579.00,0.02,0.18,8376.54,batch_1,2026-08-09T12:30:00
pay_9,9495.00,0.02,0.18,9270.92,batch_2,2026-08-10T13:30:00
pay_10,10947.00,0.02,0.18,10688.65,batch_3,2026-08-11T14:30:00
pay_11,7173.00,0.02,0.18,7003.72,batch_4,2026-08-12T15:30:00
pay_12,9954.00,0.02,0.18,9719.09,batch_1,2026-08-13T10:30:00
pay_13,14542.00,0.02,0.18,14176.81,batch_2,2026-08-14T11:30:00
pay_14,11738.00,0.02,0.18,11460.98,batch_3,2026-08-15T12:30:00
pay_15,4852.00,0.02,0.18,4737.49,batch_4,2026-08-16T13:30:00
pay_16,12809.00,0.02,0.18,12506.71,batch_1,2026-08-17T14:30:00
pay_17,1819.00,0.02,0.18,1776.07,batch_2,2026-08-18T15:30:00
pay_18,6181.00,0.02,0.18,6035.13,batch_3,2026-08-19T10:30:00
pay_19,10191.00,0.02,0.18,9950.49,batch_4,2026-08-20T11:30:00
pay_20,1011.00,0.02,0.18,987.14,batch_1,2026-08-21T12:30:00
pay_21,9085.00,0.02,0.18,8870.59,batch_2,2026-08-22T13:30:00
pay_22,6501.00,0.02,0.18,6307.58,batch_3,2026-08-23T14:30:00
pay_23,13888.00,0.02,0.18,13560.24,batch_4,2026-08-24T15:30:00
pay_24,14807.00,0.02,0.18,14457.55,batch_1,2026-08-25T10:30:00
pay_25,9759.00,0.02,0.18,9528.69,batch_2,2026-08-26T11:30:00
pay_26,1439.00,0.02,0.18,1383.04,batch_3,2026-08-27T12:30:00
pay_27,12965.00,0.02,0.18,12659.03,batch_4,2026-08-28T13:30:00
pay_28,1607.00,0.02,0.18,1569.07,batch_1,2026-08-01T14:30:00
pay_29,14496.00,0.02,0.18,14113.89,batch_2,2026-08-02T15:30:00
pay_30,7728.00,0.02,0.18,7545.62,batch_3,2026-08-03T10:30:00
pay_31,6277.00,0.02,0.18,6128.86,batch_4,2026-08-04T11:30:00
pay_32,6120.00,0.02,0.18,5975.57,batch_1,2026-08-05T12:30:00
pay_33,4674.00,0.02,0.18,4563.69,batch_2,2026-08-06T13:30:00
pay_34,11499.00,0.02,0.18,11227.62,batch_3,2026-08-07T14:30:00
pay_35,10280.00,0.02,0.18,10037.39,batch_4,2026-08-08T15:30:00
pay_36,9051.00,0.02,0.18,8837.40,batch_1,2026-08-09T10:30:00
pay_37,2977.00,0.02,0.18,2906.74,batch_2,2026-08-10T11:30:00
pay_38,4722.00,0.02,0.18,4610.56,batch_3,2026-08-11T12:30:00
pay_39,10785.00,0.02,0.18,10530.47,batch_4,2026-08-12T13:30:00
pay_40,3898.00,0.02,0.18,3806.01,batch_1,2026-08-13T14:30:00
pay_ghost_1,958.00,0.02,0.18,935.39,batch_2,2026-08-15T11:00:00
pay_ghost_2,762.00,0.02,0.18,744.02,batch_3,2026-08-15T11:00:00
